origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Shariatpur,BD3086,Jamalpur,BD4539,False,200.194388194052,200.194388194052,200.194388194052,200.194388194052,2499738,1294562,118045204,0.0002225584267735227,62.37214698882766,5.299288835489503,14.731696484346525
Shariatpur,BD3086,Jashore,BD4041,False,127.32913840452349,127.32913840452349,127.32913840452349,127.32913840452349,3076144,1294562,67517742,0.0008050156242005294,189.7365768810732,4.846775374928692,14.939187422556142
Shariatpur,BD3086,Jhalokati,BD1042,False,78.45097005674224,78.45097005674224,78.45097005674224,78.45097005674224,661160,1294562,38376576,0.00053493596763878,107.42613103991006,4.3624738443893,13.40175114703129
Shariatpur,BD3086,Jhenaidah,BD4044,False,137.48392264009857,137.48392264009857,137.48392264009857,137.48392264009857,2005849,1294562,83422129,0.00035344359642480445,106.11930737728798,4.92350698401639,14.511577970493308
Shariatpur,BD3086,Joypurhat,BD5038,False,245.3261960656225,245.3261960656225,245.3261960656225,245.3261960656225,956431,1294562,133515044,6.764948866668935e-05,15.891533008957314,5.502588737513761,13.770963927257238
Shariatpur,BD3086,Khagrachhari,BD2046,False,158.04031245052545,158.04031245052545,158.04031245052545,158.04031245052545,714119,1294562,88785684,0.00011303292959442734,28.59136099116849,5.062850142575692,13.478804894101042
Shariatpur,BD3086,Khulna,BD4047,False,130.9224229785312,130.9224229785312,130.9224229785312,130.9224229785312,2613385,1294562,74631494,0.0005673454836892127,152.46681416058115,4.874604956783225,14.776156873871212
Shariatpur,BD3086,Kishoreganj,BD3048,False,136.77105900580767,136.77105900580767,136.77105900580767,136.77105900580767,3267626,1294562,77244879,0.0006583799090436394,174.6802978378731,4.918308425832026,14.999574285328466
Shariatpur,BD3086,Kurigram,BD5549,False,292.02490095640144,292.02490095640144,292.02490095640144,292.02490095640144,2329160,1294562,148815332,0.00013177002084280423,27.312380396169157,5.676839075880334,14.66101824551926
Shariatpur,BD3086,Kushtia,BD4050,False,160.0165845070319,160.0165845070319,160.0165845070319,160.0165845070319,2149692,1294562,89499803,0.00032977564159861785,83.95493845714981,5.075277463031158,14.580835134027797
Shariatpur,BD3086,Lakshmipur,BD2051,False,60.48836852103316,60.48836852103316,60.48836852103316,60.48836852103316,1937948,1294562,13328832,0.010359081917107521,529.6614653728265,4.102451090702579,14.477140239287523
Shariatpur,BD3086,Lalmonirhat,BD5552,False,334.766600755483,334.766600755483,334.766600755483,334.766600755483,1428406,1294562,157629342,7.256213873078589e-05,12.74580943109835,5.813433574844227,14.172069695197669
Shariatpur,BD3086,Madaripur,BD3054,False,25.070898981126277,25.070898981126277,25.070898981126277,25.070898981126277,1293027,1294562,0,0.4997033918446863,2057.1586189547834,3.2217077703675874,14.07249653920651
Shariatpur,BD3086,Magura,BD4055,False,101.85954978255607,101.85954978255607,101.85954978255607,101.85954978255607,1033115,1294562,55245789,0.0004108569580836028,99.57381865965316,4.623594901483566,13.848089068139739
Shariatpur,BD3086,Manikganj,BD3056,False,81.16274997712034,81.16274997712034,81.16274997712034,81.16274997712034,1558025,1294562,39037736,0.0011937973222947962,236.51621215498943,4.396456397788222,14.258929551497186
Shariatpur,BD3086,Meherpur,BD4057,False,183.7956448428107,183.7956448428107,183.7956448428107,183.7956448428107,705356,1294562,112507487,7.007249245575357e-05,20.88035760984749,5.213824514552773,13.466457918881725
Shariatpur,BD3086,Moulvibazar,BD6058,False,205.62456024498746,205.62456024498746,205.62456024498746,205.62456024498746,2123447,1294562,124279239,0.00017142876738910612,50.22170500385867,5.326051982891149,14.568551269629545
Shariatpur,BD3086,Munshiganj,BD3059,False,30.968185556461233,30.968185556461233,30.968185556461233,30.968185556461233,1625416,1294562,1293027,0.1930190236283549,1694.8567970239453,3.4329604051348572,14.301274340983566
Shariatpur,BD3086,Mymensingh,BD4561,False,161.4382227958281,161.4382227958281,161.4382227958281,161.4382227958281,5899005,1294562,91649495,0.0008312541048016866,226.34245826017172,5.0841225480946814,15.590294250586142
Shariatpur,BD3086,Naogaon,BD5064,False,249.08705253791655,249.08705253791655,249.08705253791655,249.08705253791655,2784599,1294562,140890831,0.00017488494306368575,44.88077581230651,5.517802443951876,14.839614435339252
Shariatpur,BD3086,Narail,BD4065,False,85.65031183711712,85.65031183711712,85.65031183711712,85.65031183711712,788671,1294562,40595761,0.0005710719692027117,107.50730493632946,4.450272865593823,13.57810452934276
Shariatpur,BD3086,Narayanganj,BD3067,False,55.66866112971435,55.66866112971435,55.66866112971435,55.66866112971435,3909138,1294562,9419694,0.032299340628855075,1261.4192358664104,4.019417351784317,15.178827447298536
Shariatpur,BD3086,Narsingdi,BD3068,False,91.80501192362895,91.80501192362895,91.80501192362895,91.80501192362895,2584452,1294562,42582627,0.0016411866815828542,306.6448589356071,4.519666892254094,14.765024051188075
