sample,candidate_universe,validation_scheme,model,n_events_evaluated,n_folds_evaluated,all_folds_converged,selected_lambda_median,selected_lambda_min,selected_lambda_max,mean_log_loss,top1_accuracy,top3_accuracy,top5_accuracy,mean_rank,mean_reciprocal_rank,gravity_mean_log_loss,log_loss_improvement_vs_gravity
household_lagged_shock_yes,interdistrict_63,location_grouped_5fold,gis_joint_ridge,71,5,True,0.01,0.001,0.1,2.4007153683456823,0.39436619718309857,0.704225352112676,0.7464788732394366,5.647887323943662,0.5745292840213426,2.625019951442343,0.2243045830966608
household_lagged_shock_yes,interdistrict_63,location_grouped_5fold,gis_joint_unpenalized,71,5,True,0.0,0.0,0.0,2.381905912293116,0.39436619718309857,0.704225352112676,0.7464788732394366,5.52112676056338,0.5763139442716907,2.625019951442343,0.24311403914922725
household_lagged_shock_yes,interdistrict_63,location_grouped_5fold,radiation_adapted,71,5,True,0.0,0.0,0.0,2.434101475881044,0.4788732394366197,0.5774647887323944,0.6901408450704225,5.408450704225352,0.5741656882501953,2.625019951442343,0.19091847556129915
household_lagged_shock_yes,full_64,location_grouped_5fold,nested_gravity,184,5,True,0.0,0.0,0.0,1.7294249700190454,0.6141304347826086,0.842391304347826,0.875,3.1032608695652173,0.7348815563883938,1.6441847004043364,-0.08524026961470899
household_lagged_shock_yes,full_64,location_grouped_5fold,nested_gis_ridge,184,5,True,0.01,0.001,0.1,1.6252058846637782,0.6141304347826086,0.8586956521739131,0.8913043478260869,3.1793478260869565,0.7400901829770116,1.6441847004043364,0.018978815740558153
household_lagged_shock_yes,full_64,leave_one_origin_out,gravity_mle_disk_within,184,7,True,0.0,0.0,0.0,1.686899657614474,0.6141304347826086,0.8260869565217391,0.8695652173913043,3.0652173913043477,0.7311068558882832,1.686899657614474,0.0
household_lagged_shock_yes,full_64,leave_one_origin_out,gis_joint_ridge,184,7,True,0.1,0.01,1.0,1.8134048744369797,0.5271739130434783,0.7391304347826086,0.7934782608695652,3.5,0.6638553085470252,1.686899657614474,-0.12650521682250582
household_lagged_shock_yes,full_64,leave_one_origin_out,gis_joint_unpenalized,184,7,True,0.0,0.0,0.0,1.8374792881812112,0.5271739130434783,0.7391304347826086,0.7934782608695652,3.4565217391304346,0.6659069239303793,1.686899657614474,-0.1505796305667373
household_lagged_shock_yes,full_64,leave_one_origin_out,radiation_adapted,184,7,True,0.0,0.0,0.0,1.7651620726028272,0.4076086956521739,0.8260869565217391,0.8369565217391305,3.2934782608695654,0.6321112437682197,1.686899657614474,-0.07826241498835329
household_lagged_shock_yes,interdistrict_63,leave_one_origin_out,gravity_mle_disk_within,71,6,True,0.0,0.0,0.0,2.771589818420363,0.4084507042253521,0.6338028169014085,0.676056338028169,5.112676056338028,0.562684198248223,2.771589818420363,0.0
household_lagged_shock_yes,interdistrict_63,leave_one_origin_out,gis_joint_ridge,71,6,True,0.055,0.001,1.0,2.54795093490377,0.4225352112676056,0.647887323943662,0.7605633802816901,5.732394366197183,0.5733842559582272,2.771589818420363,0.223638883516593
household_lagged_shock_yes,interdistrict_63,leave_one_origin_out,gis_joint_unpenalized,71,6,True,0.0,0.0,0.0,2.5749221399567808,0.4225352112676056,0.676056338028169,0.7746478873239436,5.619718309859155,0.5778521697850648,2.771589818420363,0.19666767846358235
household_lagged_shock_yes,interdistrict_63,leave_one_origin_out,radiation_adapted,71,6,True,0.0,0.0,0.0,2.4341014758810435,0.4788732394366197,0.5774647887323944,0.6901408450704225,5.408450704225352,0.5741656882501953,2.771589818420363,0.3374883425393196
household_lagged_shock_yes,full_64,leave_one_origin_out,nested_gravity,184,7,True,0.0,0.0,0.0,1.833633281254749,0.4673913043478261,0.8586956521739131,0.875,3.119565217391304,0.6625965519987259,1.686899657614474,-0.14673362364027498
